osm_id,lat,lon,category,subtype,name
node/11201787450,22.3615081,91.7755313,Industrial,works,"M/S Burhani Steel Corporation, Sagarika, Chattogram"
node/11201821216,22.3583227,91.7789309,Industrial,works,"Daraz Sort Center, Sagorika Rd, Chattogram"
node/11207463384,22.3583914,91.7808048,Industrial,works,"Progressive Apparels Industries Ltd., Sagorika Rd, Chattogram"
node/11207473240,22.3584708,91.7812474,Industrial,works,"Swift Label & Accessories Limited, Sagorika Rd, Chattogram"
node/11207500954,22.3615587,91.7742285,Industrial,works,"Western Maritime Institute Ltd., Dhaka - Chittagong Hwy, Chattogram"
node/11207502114,22.3568729,91.7805721,Industrial,works,"Coats Bangladesh Ltd.,Sagorika Rd, Chattogram"
node/11207525155,22.3568846,91.7809661,Industrial,works,"Meher Garments, Dhaka Trunk Rd, Chattogram"
node/11207529393,22.3577536,91.7797112,Industrial,works,"Container Sale Chittagong Bangladesh,Sagorika Rd, Chattogram"
node/11207541039,22.3613052,91.7727591,Industrial,works,"Organic Jeans Limited, Sagorika-Munshi Para Link Road, Sagorika Rd, Chattogram"
node/11207553111,22.3609175,91.7739307,Industrial,works,"Felix Fashions Ltd., Sagorika Rd, Chattogram"
node/11207564757,22.3592853,91.7732372,Industrial,works,Ralex Industries Ltd
node/11211019543,18.4205756,76.5378186,Industrial,works,Kirti Oil Mill
node/11212808450,18.4115465,76.5474532,Industrial,works,Maharashtra State Ware Housing
node/11214985313,22.3564017,91.7728682,Industrial,works,"Lubricants Asia Limited, Sagorika Rd, Chattogram"
node/11215292482,22.3356678,91.7664569,Industrial,works,Firing Range of Bangladesh Army
node/11219234233,11.2322799,76.053772,Industrial,scrap_yard,
node/11221710083,22.3617219,91.7826894,Industrial,works,TANIA ENGINEERING WORKS
node/11222235675,9.9573918,76.2937423,Industrial,works,Raj Electrical & Engineering Industries
node/11224960166,10.3117042,76.2298775,Industrial,works,cement factory
node/11224967260,10.3114463,76.2299153,Industrial,works,cement factory
node/11247597578,27.7102136,85.4150462,Industrial,works,Deepak bhattarai statue
node/11254376543,28.6334253,77.4659834,Industrial,works,TATA Steel
node/11261980945,27.5160227,83.567064,Mining,quarry,
node/11264413334,22.342161,91.7879835,Industrial,works,"Fabian Zip-Fastener Industries Ltd., P.C Road, Noyabazar Mor, Halisohor, Chattogram"
node/11264488399,22.3372679,91.7889164,Industrial,works,Rahimafrooz batteries Ltd. St
node/11266089176,22.3257002,91.7927349,Industrial,works,Afiya Wooden Door Factory
node/11283011169,22.3260886,91.7759813,Industrial,works,"Focus Apparels BD Ltd., Chowdhury Para, Chattogram"
node/11283459279,27.4361968,84.9932471,Industrial,works,Nappy And Paste Pvt. Ltd.
node/11285657741,33.9998725,74.7980185,Industrial,works,New Rajasthan Pipes
node/11288529453,9.9596892,76.3005521,Industrial,works,JM Engineering
node/11290027320,10.8873688,78.0065557,Industrial,works,Karur Export Company
node/11290051412,10.8867126,78.0067912,Industrial,works,Prem Textiles International
node/11290051413,10.8873165,78.0069144,Industrial,works,Stellar Fashion Incorp
node/11290081853,10.886516,78.010203,Industrial,works,Atlas Export Enterprise
node/11290081854,10.88732,78.0094551,Industrial,works,The Montreal Tex
node/11290081855,10.8873336,78.0082166,Industrial,works,JVS Exports
node/11290081856,10.8866103,78.0081389,Industrial,works,Karur Golding Exports
node/11290081857,10.886664,78.007484,Industrial,works,PAP Exports
node/11290081858,10.8873614,78.0075322,Industrial,works,Shri Pranav Textile Creations
node/11290112387,10.8889762,78.0077059,Industrial,works,Mallow International
node/11290112388,10.8888869,78.0084546,Industrial,works,Pee AAA Impex
node/11290760202,22.3202928,91.7815466,Industrial,works,Progressive Label & Acc Ind Ltd.
node/11295486714,33.8911593,70.2032879,Industrial,depot,Chamkani Mine & minerals
node/11301534768,22.2936177,91.7756369,Industrial,works,"Bonshoe Bangladesh Limited, CEPZ Rd Number 1, Chattogram"
node/11301536457,22.2997466,91.7768393,Industrial,works,"JB-Q & Q Equipment International Ltd., Kolshir Dighir Par, Chattogram"
node/11301543464,22.2942856,91.7803327,Industrial,works,"K&T Logistics, CEPZ Connecting Rd, Chattogram"
node/11301550257,22.2952669,91.7747087,Industrial,works,"PACIFIC JEANS LIMITED, Plot -14, Pacific Jeans Ltd, 19 CEPZ Entry Rd, Chattogram"
node/11301552262,22.2931255,91.7741639,Industrial,works,ACE BICYCLE (DB) LTD.
node/11301553037,22.2941454,91.774137,Industrial,works,Young International limited by Akram vai
node/11301561378,22.2930684,91.7748559,Industrial,works,"Dream Bengal Garments Ltd, CEPZ Rd Number 1, Chattogram"
node/11301565296,22.2957078,91.7781476,Industrial,works,"Patenga Footwear (Pvt.) Ltd., CEPZ Connecting Rd, Chattogram"
node/11301566402,22.2956744,91.7728685,Industrial,works,"RTT Textile Industries Pvt. Ltd, CEPZ, Chattogram"
node/11301570869,22.2936201,91.780855,Industrial,works,Bidi Apparels Ltd
node/11301574409,22.2950321,91.7726584,Industrial,works,"Pacific Accessories Ltd., Plot - 7, Sector -5/A Export Processing Zone, Chattogram"
node/11301583835,22.2943291,91.7748988,Industrial,works,NHT Fashions Ltd.
node/11306687728,22.2976494,91.7772674,Industrial,works,"Intimate Creations Limited, Chittagong Export Processing Zone, Chattogram"
node/11306715997,22.2971219,91.772729,Industrial,works,"CEPZ Central Effluent Treatment Plant, Chittagong Coastal Rd, Chattogram"
node/11306717967,22.2970902,91.7781221,Industrial,works,"M.N.C. Apparels Ltd., CEPZ Connecting Rd, Chattogram"
node/11306722455,22.2983802,91.7754781,Industrial,works,"Modiste (CEPZ) Ltd., Chittagong Export Processing Zone, South Halishahar, Chattogram"
node/11306733703,22.297043,91.7772745,Industrial,works,"M.N.C. Apparels Ltd., CEPZ Connecting Rd, Chattogram"
node/11306738281,22.2981511,91.7765036,Industrial,works,"B.M.S Rope Co. Ltd., Chittagong Export Processing Zone, Chattogram"
node/11306741262,22.2982024,91.7746056,Industrial,works,"HKD INTERNATIONAL (BD) Ltd, Sector 7,HKD International, Chattogram"
node/11306744963,22.3014245,91.772212,Industrial,works,"Sagor Par, EPZ No. 3 Pocket Gate, Unnamed Road, Chattogram"
node/11306768445,22.3009111,91.7725278,Industrial,works,"Young An International (BD) Ltd., South Middle Halishahar, Chattogram"
node/11306774477,22.2990681,91.7737574,Industrial,works,"KARNAPHULI SPORTSWEAR IND. LTD.(KSL), Chittagong Coastal Rd, Chattogram"
node/11306911639,34.0010615,74.7938448,Industrial,works,J.N. Oil Chemicals
node/11353484752,25.5159848,90.1847022,Industrial,works,District Commerce & Industries centre
node/11357432376,22.1570359,94.1183612,Industrial,works,ယက္ကန်းလုပ်ငန်း
node/11358406930,26.7003141,94.4295108,Industrial,works,GOHAIBARI TEA FACTORY
node/11359561480,17.91089,83.1978917,Industrial,works,M/s Lakshmi Tiles Factory
node/11359561493,17.9078024,83.1946584,Industrial,works,Sri Vasavi tile works
node/11359561505,17.9086524,83.1948174,Industrial,works,SLN Tile Works
node/11359561547,17.9086341,83.1929039,Industrial,works,Srinivas tiles factory
node/11359561558,17.9086145,83.1920672,Industrial,works,Sri Raghavendra Industries
node/11359705986,10.9339482,75.9130778,Industrial,works,Pidakkal flour mills
node/11363420035,22.3264117,91.8141144,Industrial,works,"Bangladesh Jute Mills Corporation, Sabdar Ali Rd, Chattogram"
node/11364439852,27.0642645,88.4707791,Industrial,works,handmade paper factory
node/11366033880,30.4085344,76.6694441,Industrial,works,Kasa Feed Mills India Private Limited
node/11368156681,22.3277934,91.8141092,Industrial,works,"Bangladesh Garment Manufacturers & Exporters Association, Agrabad, Chattogram"
node/11371291133,11.7912798,77.800421,Industrial,depot,TNSTC Depot Mettur Dam
node/11375853626,22.4616792,92.0001525,Industrial,works,Sheikh Hasina Pani Shodhonagar
node/11379124575,22.33407,91.8201159,Industrial,works,"M/s. Dhaka Machinery, Dhaka Trunk Road, By Lane, Jharu Goli, Kadamtali, Chattogram"
node/11380826118,22.3176155,91.7989007,Industrial,works,"Rubi food products limited (head office), Port Connecting Rd, Chattogram"
node/11383112052,22.292497,91.7731176,Industrial,works,"Bangladesh Towel Industries (Pvt) Ltd., Plot 63/64, Sector 1, CEPZ, Chattogram"
node/11383136247,22.2922409,91.7741421,Industrial,works,"Tariq Azim Textile Mills Ltd., C.E.P.Z., Chattogram"
node/11383342178,8.3891511,76.9983282,Industrial,slaughterhouse,Bindhu Chiken Stall
node/11384605415,19.0051691,72.8365971,Industrial,works,The Parel Cotton Press Factory Private Limited (PCPF)
node/11385115661,22.2879047,91.7788903,Industrial,works,"Youngone (CEPZ) Ltd, BEPZA College Rd, Chattogram"
node/11385128308,22.2903796,91.7782355,Industrial,works,"Campex (BD) Limited, FS SFB -06, Road - 2,Sector -1, CPEZ Entry Rd, Chattogram"
node/11385132403,22.2913215,91.7781796,Industrial,works,"Sewtech Fashions Limited (B-10), SFB-10 Factory Building, Factory Bay Area, CEPZ, Chattogram"
node/11385146623,22.2896751,91.779377,Industrial,works,"Delmas Apparels (Pvt.) Ltd., Cepz, Plot- 5, Sector-2/A, Rd No 1, Chattogram"
