latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
13.74148,79.71833,340.43,0.39,0.59,2026-05-01,0720,N21,VIIRS,n,2.0NRT,301.55,2.88,D
9.97192,76.3699,341.63,0.77,0.77,2026-05-01,0720,N21,VIIRS,n,2.0NRT,283.63,12.21,D
10.4695,79.48643,367,0.46,0.64,2026-05-01,0720,N21,VIIRS,h,2.0NRT,296.72,15.04,D
16.28022,80.66334,336.07,0.6,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.16,7.85,D
15.5368,77.01971,331.27,0.54,0.68,2026-05-01,0722,N21,VIIRS,l,2.0NRT,301.36,2.25,D
15.61771,77.30954,334.19,0.52,0.67,2026-05-01,0722,N21,VIIRS,l,2.0NRT,305.21,3.04,D
16.30316,80.65304,336.11,0.6,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.55,9.04,D
15.92224,78.74249,331.56,0.41,0.61,2026-05-01,0722,N21,VIIRS,n,2.0NRT,300.8,1.52,D
15.88397,78.49944,351.85,0.43,0.62,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.68,4.4,D
15.88318,78.49554,332.44,0.43,0.62,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.98,4.4,D
19.35236,79.70882,330.71,0.61,0.53,2026-05-01,0722,N21,VIIRS,l,2.0NRT,304.07,4.16,D
19.13168,78.64874,340.14,0.36,0.57,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.9,3.5,D
19.20525,78.94781,334.7,0.34,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.39,5.46,D
19.20966,78.94359,334.07,0.34,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.05,2.01,D
19.21617,78.94938,348.42,0.34,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,308.14,3.8,D
19.21545,78.94595,339.67,0.34,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.64,3.8,D
19.29915,79.1991,334.7,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.23,3.21,D
19.28496,79.12975,337.19,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.78,4.17,D
19.28432,79.12666,332.81,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.47,3.79,D
19.22592,78.81702,367,0.35,0.57,2026-05-01,0722,N21,VIIRS,h,2.0NRT,313.17,24.45,D
19.31282,79.1897,349.05,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,309.8,2.99,D
19.31105,79.15544,348.12,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,311.9,3.67,D
19.68362,81.01764,331.81,0.49,0.49,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.05,6.49,D
19.31204,79.10895,339.57,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,309.24,3.39,D
19.32891,79.14076,346.63,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.07,3.68,D
19.33693,79.15466,342.63,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,308.78,4.16,D
19.33375,79.13889,338.03,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.49,3.68,D
19.28634,78.90455,336.97,0.34,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,311.92,3.48,D
19.32839,79.1399,346.66,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.61,3.8,D
19.3365,79.15374,334.18,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.75,3.93,D
19.33321,79.13803,335.85,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.4,3.61,D
19.32004,79.07508,335.76,0.33,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,310.4,1.87,D
19.3027,78.86633,336.83,0.35,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.36,2.14,D
19.41074,79.33716,338.21,0.32,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,311.14,8.25,D
18.43946,74.87688,333.9,0.66,0.73,2026-05-01,0722,N21,VIIRS,l,2.0NRT,304.6,3.65,D
19.4468,79.43827,337.29,0.63,0.54,2026-05-01,0722,N21,VIIRS,l,2.0NRT,310.75,13.5,D
19.39408,79.0789,343.45,0.33,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,310.28,2.57,D
18.84972,76.48746,337.62,0.5,0.66,2026-05-01,0722,N21,VIIRS,l,2.0NRT,311.27,3.8,D
19.15211,77.78159,336.96,0.41,0.61,2026-05-01,0722,N21,VIIRS,l,2.0NRT,311.41,6.52,D
19.7782,80.8056,334.34,0.51,0.49,2026-05-01,0722,N21,VIIRS,n,2.0NRT,304.29,5.36,D
19.25818,78.26747,334.57,0.38,0.59,2026-05-01,0722,N21,VIIRS,l,2.0NRT,309.36,1.49,D
19.15267,77.78003,346.85,0.41,0.61,2026-05-01,0722,N21,VIIRS,n,2.0NRT,312.78,6.21,D
19.38578,78.71468,338.69,0.35,0.57,2026-05-01,0722,N21,VIIRS,l,2.0NRT,312.16,4.92,D
18.66404,75.28931,337.35,0.61,0.71,2026-05-01,0722,N21,VIIRS,l,2.0NRT,310.68,6.04,D
19.31867,78.24003,347.42,0.38,0.59,2026-05-01,0722,N21,VIIRS,n,2.0NRT,311.68,4.28,D
19.34914,78.35896,343.26,0.37,0.58,2026-05-01,0722,N21,VIIRS,n,2.0NRT,311.33,6.66,D
19.67807,79.9432,334.68,0.58,0.52,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307,7.37,D
19.41554,78.62569,339.94,0.36,0.57,2026-05-01,0722,N21,VIIRS,l,2.0NRT,310.66,5.91,D
18.99882,76.5284,334.24,0.5,0.66,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.88,4.34,D
18.51435,74.33773,344.05,0.71,0.75,2026-05-01,0722,N21,VIIRS,n,2.0NRT,302.26,9.4,D
18.99664,76.52947,334.54,0.5,0.66,2026-05-01,0722,N21,VIIRS,l,2.0NRT,308.9,4.34,D
18.5158,74.33485,330.01,0.71,0.75,2026-05-01,0722,N21,VIIRS,l,2.0NRT,300.89,6.33,D
19.62168,79.29855,337.96,0.32,0.54,2026-05-01,0722,N21,VIIRS,l,2.0NRT,312.22,4.95,D
19.59267,79.1579,341.85,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,311.73,5.51,D
19.94022,80.76704,337.51,0.51,0.49,2026-05-01,0722,N21,VIIRS,n,2.0NRT,306.25,3.97,D
20.76159,85.29622,332.93,0.42,0.38,2026-05-01,0722,N21,VIIRS,l,2.0NRT,305.52,6.38,D
19.66944,79.20481,353.27,0.32,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,310.43,7.99,D
